EAN|QTY_ON_HAND|VENDOR_STOCK_ID|LIST_PRICE_EXCL_TAX|COST_PRICE|ISO_CURRENCY_CODE
5414886293442|2019|29344|||EUR
5414883005765|477|300576|||EUR
5414886303400|2208|30340|||EUR
5414886303486|118559|30348|||EUR
5414886303608|1491|30360|||EUR
5414886306135|3632|30613|||EUR
5414886309051|15381|30905|||EUR
5414886198754|2901|19875|||EUR
5414886209405|1468|20940|||EUR
5414886210845|24034|21084|||EUR
5414886238955|919|23895|||EUR
5414886239112|10740|23911|||EUR
5414886245199|3069|24519|||EUR
5414886333506|55|33350|||EUR
5414883350001|1698|335000|||EUR
5414886425027|2049|42502|||EUR
5414886425065|1092|42506|||EUR
5414886425126|2280|42512|||EUR
5414886425232|647|42523|||EUR
5414886425270|1998|42527|||EUR
5414886425317|7680|42531|||EUR
5414886425355|5915|42535|||EUR
5414886425423|420|42542|||EUR
5414886425461|978|42546|||EUR
5414886510525|3053|51052|||EUR
5414886510563|2693|51056|||EUR
5414886511102|2970|51110|||EUR
5414886540041|3874|54004|||EUR
5414886540096|970|54009|||EUR
5414886544001|1714|54400|||EUR
5414886571038|9343|57103|||EUR
5414886571090|2200|57109|||EUR
5414886571250|2064|57125|||EUR
5414886571304|5943|57130|||EUR
5414886258380|12744|25838|||EUR
5414886280862|496|28086|||EUR
5414886286987|4812|28698|||EUR
5414886290991|4554|29099|||EUR
5414886291974|2760|29197|||EUR
5414886293435|1039|29343|||EUR
5414883005482|10883|300548|||EUR
5414886303295|4320|30329|||EUR
5414886303479|480|30347|||EUR
5414886303592|6576|30359|||EUR
5414886304094|65|30409|||EUR
5414886188922|3672|18892|||EUR
5414886198785|875|19878|||EUR
5414886323538|8604|32353|||EUR
5414886239075|192|23907|||EUR
5414886245175|3476|24517|||EUR
5414883350063|16447|335006|||EUR
5414886425010|3216|42501|||EUR
5414886425058|1314|42505|||EUR
5414886425119|1020|42511|||EUR
5414886425157|2604|42515|||EUR
5414886425263|431|42526|||EUR
5414886425300|7536|42530|||EUR
5414886425348|6936|42534|||EUR
5414886425386|177|42538|||EUR
5414886425454|1092|42545|||EUR
5414886510518|2398|51051|||EUR
5414886510556|2747|51055|||EUR
5414886540034|4492|54003|||EUR
5414886540089|4152|54008|||EUR
5414886540232|1353|54023|||EUR
5414886544056|14040|54405|||EUR
5414886571021|7979|57102|||EUR
5414886571083|8240|57108|||EUR
5414886571243|5560|57124|||EUR
5414886571298|5512|57129|||EUR
5414886258342|5892|25834|||EUR
5414886258489|1304|25848|||EUR
5414886261281|12154|26128|||EUR
5414886274175|3552|27417|||EUR
5414886275332|2394|27533|||EUR
5414886284174|215|28417|||EUR
5414886290625|3348|29062|||EUR
5414886291745|3348|29174|||EUR
5414886293404|3|29340|||EUR
5414886299987|11616|29998|||EUR
5414886303455|3625|30345|||EUR
5414886303523|279|30352|||EUR
5414886304070|24|30407|||EUR
5414886198778|1945|19877|||EUR
5414886207265|3300|20726|||EUR
5414886239013|5016|23901|||EUR
5414886245168|4733|24516|||EUR
5414886333551|1839|33355|||EUR
5414883350056|1166|335005|||EUR
5414886361332|2976|36133|||EUR
5414886403100|0|40310|||EUR
5414886539038|2041|53903|||EUR
5414886539076|0|53907|||EUR
5414886543028|1776|54302|||EUR
5414886344465|25536|34446|||EUR
8692952217050|7108|25720|||EUR
5414886344502|16392|34450|||EUR
5414886344540|8688|34454|||EUR
5414886267009|14015|26700|||EUR
5414886267818|2988|26781|||EUR
5414886081513|1020|8151|||EUR
5414886275011|4583|27501|||EUR
5414886082237|2178|8223|||EUR
5414886082275|142|8227|||EUR
5414886082466|1468|8246|||EUR
5414886292308|15168|29230|||EUR
5414886292414|1032|29241|||EUR
5414886292537|29712|29253|||EUR
5414886292698|10080|29269|||EUR
5414881530474|716|153047|||EUR
5414886292735|4752|29273|||EUR
5414881530535|14804|153053|||EUR
5414886292773|4896|29277|||EUR
5414881530597|20104|153059|||EUR
5414881531112|25984|153111|||EUR
5414886293602|16524|29360|||EUR
5414881531150|15404|153115|||EUR
5414881531198|15617|153119|||EUR
5414881531471|18384|153147|||EUR
