ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5908256833722||Kitchen scale|0|||||EUR
|5908256839168||Kitchen scale|992|||||EUR
|5908256832268||Kitchen scale|1338|||||EUR
|5902934830874||Precision scale - 0.1 gram|1100|||||EUR
|5902934830881||Precision scale - 0.1 gram|583|||||EUR
|5902934834704||Kitchen scale with a bowl|2133|||||EUR
|5902934837262||Precision scale|1145|||||EUR
|5903887801577||Kitchen scale - up to 15kg - big size|1167|||||EUR
|5903887801591||Kitchen scale - up to 10kg|911|||||EUR
|5903887804738||Kitchen scale - up to 10kg - LED|1894|||||EUR
|5903887804714||Kitchen scale - up to 10kg - LED|1518|||||EUR
|5903887807180||Precision scale|1512|||||EUR
|5903887808583||Kitchen scale 10kg USB charged|1114|||||EUR
|5903887808606||Kitchen scale 10kg USB charged|117|||||EUR
|5903887809702||Kitchen scale with a measuring cup|1924|||||EUR
|5905575904287||Kitchen scale LCD - 10 kg|596|||||EUR
|5905575904324||Kitchen scale|0|||||EUR
|5905575904348||Kitchen scale|149|||||EUR
|5905575904300||Kitchen scale|42|||||EUR
|5905575906205||Kitchen scale - 5kg|998|||||EUR
|5905575906182||Kitchen scale - 5kg|1564|||||EUR
|5903887802154||Toaster|3446|||||EUR
|5902934838238||Toaster 2 slice|929|||||EUR
|5903887802178||Toaster with bun grid|1085|||||EUR
|5903887805179||Toaster 2 slices|327|||||EUR
|5903887801157||Citrus juicer|307|||||EUR
|5903887805131||Citrus juicer|1802|||||EUR
|5905575904560||Citrus juicer|2042|||||EUR
|5908256835207||Blender|0|||||EUR
|5908256839007||Blender|0|||||EUR
|5902934832243||Blender - Glass jar 1,5L|416|||||EUR
|5902934834582||Jar for AD4076 / CR4077|36|||||EUR
|5902934835763||Blender|765|||||EUR
|5902934838214||Cup for blender|43|||||EUR
|5903887801409||Personal blender with cooling stick|1990|||||EUR
|5903887803274||Chopper with the glass bowl|1809|||||EUR
|5905575905017||Blender Smoothie Set|250|||||EUR
|5903887809863||Blender - jar 1,5L plastic|1877|||||EUR
|5903887809887||Jug for blender AD4085|32|||||EUR
|5903887809023||Juice extractor - 1000W|980|||||EUR
|5903887809047||Juice extractor - 1000W|1049|||||EUR
|5905575900517||Juice extractor - 1000W|295|||||EUR
|5905575900975||Slow Juicer 4130|207|||||EUR
|5905575900999||Slow-speed juicer 3in1 - Meat mincer, Juicer, Vegetable grater|631|||||EUR
|5905575902061||Juice extractor 600W - titanium blades|1194|||||EUR
|5908256831216||Mixer|581|||||EUR
|5908256831223||Mixer with a bowl|1123|||||EUR
|5908256831537||Mixer|1761|||||EUR
|5908256836594||Mixer|1724|||||EUR
|5908256831544||Mixer with a bowl|2109|||||EUR
|5908256835375||Mixer with blending shaft|2695|||||EUR
|5902934834278||Planetary food processor 1000W|501|||||EUR
|5903887803953||Planetary food processor 2200W 7L|30|||||EUR
|5903887803014||LCD food processor 12in1|644|||||EUR
|5903887802994||Hand Mixer INOX|638|||||EUR
|5903887804844||Planetary food processor 1200W|0|||||EUR
|5905575905994||Hand mixer|1003|||||EUR
|5905575905970||Hand mixer with a pull-out tray for accessories|1175|||||EUR
|5905575907516||Hand mixer – TURBO POWER|2185|||||EUR
|5905575901453||Burr coffee grinder|1705|||||EUR
|5902934830553||Espresso machine - 15 bar|225|||||EUR
|5902934830454||Coffee maker 0,7 L|2641|||||EUR
|5905575901491||Espresso coffee maker|0|||||EUR
|5905575901538||Espresso coffee maker|1221|||||EUR
|5905575901552||Espresso coffee maker|0|||||EUR
|5905575901576||Espresso coffee maker|1412|||||EUR
|5905575907196||Espresso coffee maker|1909|||||EUR
|5901436590309||Coffee grinder|2657|||||EUR
|5903887800464||Coffee Mill|930|||||EUR
|5903887800433||Coffee Mill|2692|||||EUR
|5903887800440||Coffee Mill|2887|||||EUR
|5903887800457||Coffee Mill|3645|||||EUR
|5903887806169||Burr coffee grinder|880|||||EUR
|5903887809764||Electric Salt and Pepper Grinder - Set - 3 grinders - USB|558|||||EUR
|5903887809788||Electric Salt and Pepper Grinder - Set - 3 grinders - USB|888|||||EUR
|5903887809801||Salt and Pepper Grinder|0|||||EUR
|5903887809900||Salt and Pepper Grinder|0|||||EUR
|5903887803236||Burr coffee grinder|936|||||EUR
|5908256835412||Egg boiler for 7 eggs|1366|||||EUR
|5908256838697||Electric lunchbox - 1.1L|209|||||EUR
|5908256838703||Electric lunchbox - 1L|817|||||EUR
|5908256839472||Yogurt Maker +7 glass jars|0|||||EUR
|5908256839533||Milk frother - heater|659|||||EUR
|5908256839557||Popcorn maker|353|||||EUR
|5902934831451||Egg boiler for 8 eggs|1344|||||EUR
|5902934839082||Chocolate Fountain|1290|||||EUR
|5902934839112||Knife sharpener AD 4489|744|||||EUR
|5902934839723||Electric wine opener|619|||||EUR
|5903887801034||Milk frother|413|||||EUR
|5905575901255||Milk frother black - frothing and heating (latte and cappucino)|1201|||||EUR
|5905575901279||Milk frother dark - frothing and heating (latte and cappucino)|818|||||EUR
|5903887809726||Milk frother white - frothing and heating (latte and cappucino)|944|||||EUR
|5903887809740||Milk frother - frothing and heating (latte and cappucino)|709|||||EUR
|5903887801843||Electric pasteurization pot 28L|471|||||EUR
