ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5903887805650||Electric shaver AD 2933 3 heads|54|||||EUR
|5903887805674||Dualtrack Head For AD 2933|266|||||EUR
|5903887805841||Eyebrow trimmer|1932|||||EUR
|5903887805827||Eyebrow trimmer|820|||||EUR
|5903887807067||Travel Shaver - USB 2 heads|477|||||EUR
|5903887807128||Head for AD 2936|0|||||EUR
|5903887807081||Travel Shaver - USB 2 heads|1902|||||EUR
|5903887807142||Head for AD 2937|65|||||EUR
|5903887807401||Laddy trimmer|2712|||||EUR
|5903887807913||Heaed for AD 2940|436|||||EUR
|5903887808033||Lady shaver|279|||||EUR
|5903887808484||Replacement foil for AD 2941|225|||||EUR
|5905575901477||Grooming 5 in 1 set - LED - USB-c|1853|||||EUR
|5905575901774||Grooming 6 in 1 set - LED - USB-c|678|||||EUR
|5905575901675||Electric shaver with beard trimmer - LED - USB - IPX7|2302|||||EUR
|5905575901989||5in1 Men’s grooming kit|0|||||EUR
|5901436590279||Sandwich maker|1755|||||EUR
|5908256832503||Sandwich maker|1790|||||EUR
|5902934830041||Waffle maker 1300 W|3590|||||EUR
|5902934830256||Wafer maker/cone maker|1035|||||EUR
|5902934831024||Nut Maker (24 pcs) XL|2423|||||EUR
|5905575900081||Nut Maker (24 pcs) XL|0|||||EUR
|5902934832168||Multifunctional Baking Device 5in1|4072|||||EUR
|5902934835459||Sandwich maker. USA Size XXL|1765|||||EUR
|5903887802970||Waffle maker|3963|||||EUR
|5902934839310||Electric grill XL|1176|||||EUR
|5903887801959||Electric grill|1298|||||EUR
|5903887802031||Sandwich Maker|2143|||||EUR
|5903887807043||Crepe maker|1962|||||EUR
|5903887807937||Electric grill LED 2in1|703|||||EUR
|5905575900357||Waffle bowl maker|2342|||||EUR
|5905575901408||Multifunctional device - toasting, baking, grilling ( Double-sided)|1326|||||EUR
