Link;Price;Currency;Available_in_warehouse_pcs;EAN_PCS;Product_name
ad_7328;24.13;EUR;0;5903887804158;Fan 40cm/16" - stand with remote control
ad_7331b;3.99;EUR;0;5903887804103;Portable Mini Fan 9cm/3,5” USB
ad_7331w;3.99;EUR;0;5903887804080;Portable Mini Fan 9cm/3,5” USB
ad_7333;29.07;EUR;0;5903887805230;Fan Tower 109cm / 43”
ad_7336;1.69;EUR;1390;5905575908148;Foldable mini fan
ad_7338;3.16;EUR;2744;5905575908186;Mini USB fan
ad_7403;9.99;EUR;142;5907633494792;Electric heating pad - grey color
ad_7412;16.39;EUR;505;5903887801782;Blanket heating - pad
ad_7415;7.61;EUR;87;5902934830706;Blanket heating - pad
ad_7425;11.76;EUR;0;5902934832816;Electirc heating under-blanket (1)
ad_7426;21.24;EUR;153;5902934832540;Electirc heating under-blanket (2)
ad_7427;7.00;EUR;7689;5902934833967;Electric Hot water bottle warmer
ad_7432;13.44;EUR;0;5902934837293;Feet warmer with LCD controller
ad_7433;7.88;EUR;0;5903887801805;Blanket heating - pad
ad_7437;14.37;EUR;399;5905575900227;Heating belt on the loins
ad_7439;7.68;EUR;348;5905575901095;Electric hot water bottle
ad_7702;8.92;EUR;0;5908256831827;Heater fan - ceramic
ad_7709;5.44;EUR;0;5908256839861;Heater quartz
ad_7714;23.36;EUR;2177;5902934831727;Heater air curtain
ad_7725b;7.32;EUR;5419;5903887801324;Heater fan
ad_7725w;7.32;EUR;2520;5903887801300;Heater fan
ad_7726;7.97;EUR;0;5903887805889;Thermofan  - Easy Heater
ad_7727;17.39;EUR;455;5903887805865;Ceramic Heater LCD with remote control
ad_7728;6.14;EUR;0;5903887801461;Thermo fan heater
ad_7730;51.30;EUR;195;5903887806183;Tower fan heater LCD with humidifier 75cm / 29"
ad_7731;26.41;EUR;0;5903887801423;Ceramic fan heat tower LCD + Remote control + Timer
ad_7738;19.92;EUR;0;5903887807340;Tower fan ceramic heater  LED + Timer
ad_7740;19.76;EUR;511;5903887806961;Ceramic fan heater 3000W
ad_7742;13.78;EUR;1600;5903887806831;Ceramic fan heater 1500W
ad_7746;11.31;EUR;1791;5905575900029;Ceramic fan heater
ad_7749;7.88;EUR;0;5905575900005;Thermofan  - Easy Heater
ad_7750;28.40;EUR;623;5905575900418;Convector heater
ad_7751;21.94;EUR;4383;5905575903266;LED air curtain
ad_7752;35.72;EUR;806;5905575903860;Convection fan heater LCD with remote control
ad_7815;19.48;EUR;0;5903887805902;Oil-filled radiator 7 ribs
ad_7816;22.52;EUR;0;5903887805919;Oil-filled radiator 9 ribs
ad_7817;25.98;EUR;0;5903887805926;Oil-filled radiator 11 ribs
ad_7818;26.68;EUR;0;5903887805988;Oil-filled radiator 13 ribs
ad_7819;32.96;EUR;0;5903887805933;Oil-filled radiator 15 ribs
ad_7821;31.44;EUR;1115;5903887809641;Foldable electric clothes drying rack
ad_7823;50.82;EUR;903;5905575903181;LED electric bathroom radiator
ad_7824;61.45;EUR;867;5905575903198;LED electric bathroom radiator
ad_7826;39.81;EUR;0;5905575903204;Oil-filled LED radiator with remote control 13 ribs
ad_7852;129.11;EUR;0;5903887803977;Air conditioner 7000BTU
ad_7855;47.98;EUR;0;5903887804585;Tower Air Cooler 2L 3in1
ad_7857;31.50;EUR;0;5903887804172;Fan Tower 96cm / 38"
ad_7859;39.36;EUR;0;5903887805223;Tower Air cooler 3 in 1
ad_7860;35.06;EUR;0;5903887808507;Thermo-electric dehumidifier
ad_7861;55.10;EUR;1496;5903887809498;Compressor air dehumidifier 10L/24h LCD
